"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"112","sm_5_s","~~","sm_5_s",0.0279077729588756,0.00202048951748144,13.8123819586369,0,0.0239476862734713,0.03186785964428,0.0279077729588756,0.492718758488627,0.492718758488627
"113","sm_7_s","~~","sm_7_s",0.0150644186543402,0.00121363014103807,12.4126932456168,0,0.0126857472873534,0.0174430900213271,0.0150644186543402,0.437173357453328,0.437173357453328
"114","sm_dur_s","~~","sm_dur_s",0.00996569536380614,0.000711932156300142,13.9980969754156,0,0.00857033397802192,0.0113610567495904,0.00996569536380614,0.461511420354639,0.461511420354639
"115","sm_count_d","~~","sm_count_d",0.00244923776296734,0.000816287858014602,3.00045840314769,0.0026957357094366,0.000849342960241377,0.00404913256569331,0.00244923776296734,0.038917182654044,0.038917182654044
"116","sm_dur_d","~~","sm_dur_d",0.00377040419108969,0.000635968561460795,5.92860153720369,3.05525471588908e-09,0.00252392871532678,0.00501687966685259,0.00377040419108969,0.0834357305491154,0.0834357305491154
"117","web_5_s","~~","web_5_s",0.0336479894864684,0.00315355767933328,10.6698506600907,0,0.0274671300118054,0.0398288489611313,0.0336479894864684,0.404055283135643,0.404055283135643
"118","web_7_s","~~","web_7_s",0.0147224731575193,0.00110606194807656,13.3107130058327,0,0.0125546315746191,0.0168903147404196,0.0147224731575193,0.518878703482081,0.518878703482081
"119","web_dur_s","~~","web_dur_s",0.00866802980598173,0.000587234325009557,14.7607682943954,0,0.00751707167847731,0.00981898793348615,0.00866802980598173,0.429967991152645,0.429967991152645
"120","web_count_d","~~","web_count_d",0.00384175669011001,0.000958856034358233,4.00660427890128,6.15979365636843e-05,0.00196243339640898,0.00572107998381105,0.00384175669011001,0.0924934177324171,0.0924934177324171
"121","web_dur_d","~~","web_dur_d",0.00299886299202089,0.000679679257165056,4.41217377227187,1.0233792307357e-05,0.00166671612693844,0.00433100985710333,0.00299886299202089,0.10970488108704,0.10970488108704
"122","T_call","~~","T_msg",0.00186921658169198,0.000725689509871779,2.57578007710522,0.0100014236937105,0.000446891278384766,0.00329154188499919,0.129661563196347,0.129661563196347,0.129661563196347
"123","T_call","~~","T_phot",0.00341043593916476,0.0012242594050512,2.78571348939087,0.0053410056447436,0.00101093159752998,0.00580994028079955,0.160882224264357,0.160882224264357,0.160882224264357
"124","T_call","~~","T_sm",-0.0004712164884282,0.000571572776366372,-0.824420805035254,0.409700497408492,-0.00159147854464986,0.000649045567793456,-0.0316419738956104,-0.0316419738956104,-0.0316419738956104
"125","T_call","~~","T_web",0.000666130358628427,0.000389776247118811,1.7090070612368,0.087449641501405,-9.78170477536268e-05,0.00143007776501048,0.0710578975147755,0.0710578975147755,0.0710578975147755
"126","T_msg","~~","T_phot",0.00536233758308243,0.00126756236962487,4.23043292510283,2.332419860962e-05,0.00287796099045943,0.00784671417570543,0.274470906300867,0.274470906300867,0.274470906300867
"127","T_msg","~~","T_sm",0.00341060356942198,0.00076396057367905,4.46437118213749,8.03042450470137e-06,0.00191326835940248,0.00490793877944148,0.248495386997954,0.248495386997954,0.248495386997954
"128","T_msg","~~","T_web",0.000531363346363483,0.000455129990842927,1.16749798311328,0.243009322340905,-0.000360675043972699,0.00142340173669967,0.0615019263821985,0.0615019263821985,0.0615019263821985
"129","T_phot","~~","T_sm",0.00205078228508635,0.000942309022106486,2.17633731289331,0.0295300474350215,0.00020389053945048,0.00389767403072222,0.101613914837924,0.101613914837924,0.101613914837924
"130","T_phot","~~","T_web",0.000564679431876228,0.000665909515214818,0.847982224272717,0.39644787036895,-0.000740479234907342,0.0018698380986598,0.044447325377525,0.044447325377525,0.044447325377525
"131","T_sm","~~","T_web",0.00208821142493729,0.000518512873800865,4.0273087332047,5.64189296081707e-05,0.00107194486676724,0.00310447798310735,0.233971551268735,0.233971551268735,0.233971551268735
"132","call_5_s","~1","",0.615020134825753,0.00801712512319403,76.7133012613788,0,0.599306858324741,0.630733411326764,0.615020134825753,2.14403682443653,2.14403682443653
"133","call_7_s","~1","",0.709947201152854,0.00711347079668414,99.8032073855969,0,0.696005054586276,0.723889347719432,0.709947201152854,2.80743972851974,2.80743972851974
"134","call_dur_s","~1","",0.243625561164617,0.0045331373185758,53.7432563902913,0,0.234740775283234,0.252510347046,0.243625561164617,1.61937001996721,1.61937001996721
"135","call_count_d","~1","",0.406741434943154,0.00837615343983941,48.5594536757856,0,0.390324475872088,0.423158394014221,0.406741434943154,1.59687316782312,1.59687316782312
"136","call_dur_d","~1","",0.476085323244293,0.00699476624431167,68.06307839543,0,0.462375833325165,0.48979481316342,0.476085323244293,2.29176091181588,2.29176091181588
"137","msg_5_s","~1","",0.858788094321629,0.00561712122181682,152.887584299607,0,0.847778739030072,0.869797449613186,0.858788094321629,4.13431928303104,4.13431928303104
"138","msg_7_s","~1","",0.913181095200511,0.00442777689097414,206.239184513113,0,0.904502811962623,0.921859378438399,0.913181095200511,5.53430692209069,5.53430692209069
"139","msg_dur_s","~1","",0.343178466407729,0.00498249454511066,68.876837355395,0,0.333412956546145,0.352943976269314,0.343178466407729,2.03041368426654,2.03041368426654
"140","msg_count_d","~1","",0.3047251260537,0.00778137795073607,39.160818043143,0,0.289473905520163,0.319976346587237,0.3047251260537,1.44693515583881,1.44693515583881
"141","msg_dur_d","~1","",0.490112871350652,0.0071115112246408,68.9182447821289,0,0.476174565474703,0.5040511772266,0.490112871350652,2.58707936641036,2.58707936641036
"142","phot_5_s","~1","",0.497047613320604,0.00709815070746132,70.0249450604262,0,0.483135493577143,0.510959733064066,0.497047613320604,1.91732395181208,1.91732395181208
"143","phot_7_s","~1","",0.647261399256478,0.0060715697830072,106.605280411666,0,0.635361341152162,0.659161457360793,0.647261399256478,3.00821421416217,3.00821421416217
"144","phot_dur_s","~1","",0.196034768311333,0.00455119324100209,43.0732684662209,0,0.187114593472287,0.20495494315038,0.196034768311333,1.30957266581088,1.30957266581088
"145","phot_count_d","~1","",0.330936571474256,0.00758605911909231,43.6243069397346,0,0.316068168816243,0.345804974132269,0.330936571474256,1.47971458996502,1.47971458996502
"146","phot_dur_d","~1","",0.527669445010892,0.00671837992500888,78.541173750336,0,0.514501662323418,0.540837227698367,0.527669445010892,2.7073685494809,2.7073685494809
"147","sm_5_s","~1","",0.789377880250601,0.00793631818297889,99.4639909906319,0,0.773822982442112,0.80493277805909,0.789377880250601,3.31682005234584,3.31682005234584
"148","sm_7_s","~1","",0.862203287917754,0.00592133756294922,145.609548307582,0,0.850597679554069,0.873808896281439,0.862203287917754,4.64472846508005,4.64472846508005
"149","sm_dur_s","~1","",0.324346620131194,0.00507784927359813,63.8748026290595,0,0.314394218436019,0.334299021826369,0.324346620131194,2.20722597943396,2.20722597943396
"150","sm_count_d","~1","",0.447612155898202,0.00739872173852939,60.4985795812849,0,0.433110927759051,0.462113384037354,0.447612155898202,1.78425570952929,1.78425570952929
"151","sm_dur_d","~1","",0.647292597696594,0.00628867010329917,102.929965646792,0,0.634967030783473,0.659618164609714,0.647292597696594,3.04496792509208,3.04496792509208
"152","web_5_s","~1","",0.732934303535259,0.00807590307848643,90.755708236239,0,0.717105824358789,0.748762782711728,0.732934303535259,2.5398372211874,2.5398372211874
"153","web_7_s","~1","",0.868117184507765,0.00508873834729748,170.595759746383,0,0.858143440620314,0.878090928395216,0.868117184507765,5.15372084197961,5.15372084197961
"154","web_dur_s","~1","",0.332346228533614,0.00451874504949866,73.5483469177989,0,0.323489650981278,0.34120280608595,0.332346228533614,2.34071543896868,2.34071543896868
"155","web_count_d","~1","",0.456577181411964,0.00583825292323895,78.2044196123425,0,0.44513441594978,0.468019946874148,0.456577181411964,2.24029231100932,2.24029231100932
"156","web_dur_d","~1","",0.641780033613437,0.00474297366738422,135.31174293181,0,0.632483976045742,0.651076091181132,0.641780033613437,3.88169014326999,3.88169014326999
"157","T_call","~1","",0,0,NA,NA,0,0,0,0,0
"158","T_msg","~1","",0,0,NA,NA,0,0,0,0,0
"159","T_phot","~1","",0,0,NA,NA,0,0,0,0,0
"160","T_sm","~1","",0,0,NA,NA,0,0,0,0,0
"161","T_web","~1","",0,0,NA,NA,0,0,0,0,0
"162","M_5","~1","",0,0,NA,NA,0,0,0,0,0
"163","M_7","~1","",0,0,NA,NA,0,0,0,0,0
"164","M_dur","~1","",0,0,NA,NA,0,0,0,0,0
"165","M_count","~1","",0,0,NA,NA,0,0,0,0,0
"166","M_ddur","~1","",0,0,NA,NA,0,0,0,0,0
